acronym,group
DYNLL1,neuron
DYRK2,neuron
DZIP1,neuron
E4F1,neuron
EBF1,neuron
EBF3,neuron
ECEL1,neuron
EDC3,neuron
EEF1A2,neuron
EEF1E1,neuron
EEF2K,neuron
EFNA3,neuron
EFNA5,neuron
EFNB2,neuron
EFNB3,neuron
EGFL7,neuron
EGR2,neuron
EGR3,neuron
EGR4,neuron
EHBP1L1,neuron
EID1,neuron
EID2,neuron
EIF1AY,neuron
EIF2C1,neuron
EIF2C4,neuron
EIF2S2,neuron
EIF4A2,neuron
EIF4E2,neuron
EIF4ENIF1,neuron
EIF5,neuron
ELAVL1,neuron
ELAVL2,neuron
ELAVL3,neuron
ELAVL4,neuron
ELMO1,neuron
ELMOD1,neuron
ELOVL4,neuron
ELOVL6,neuron
ELP3,neuron
EMID2,neuron
EML4,neuron
EML5,neuron
EMX1,neuron
ENC1,neuron
ENDOD1,neuron
ENO2,neuron
ENOPH1,neuron
ENSA,neuron
ENTPD4,neuron
ENTPD6,neuron
ENTPD7,neuron
ENY2,neuron
EOMES,neuron
EPC1,neuron
EPC2,neuron
EPHA3,neuron
EPHA4,neuron
EPHA5,neuron
EPHA7,neuron
EPHA8,neuron
EPHB2,neuron
EPHB6,neuron
EPM2AIP1,neuron
EPRS,neuron
ERC1,neuron
ERC2,neuron
ERGIC2,neuron
ERH,neuron
ERLIN1,neuron
ESF1,neuron
ESR1,neuron
ESRRG,neuron
ETS1,neuron
ETV3,neuron
EVL,neuron
EWSR1,neuron
EXOC6,neuron
EXOC8,neuron
EXOSC10,neuron
FAAH,neuron
FABP3,neuron
FADS3,neuron
FAIM2,neuron
FANCA,neuron
FANK1,neuron
FAP,neuron
FARP1,neuron
FAS,neuron
FAT4,neuron
FBN2,neuron
FBXL16,neuron
FBXL17,neuron
FBXL2,neuron
FBXO11,neuron
FBXO28,neuron
FBXO3,neuron
FBXO31,neuron
FBXO41,neuron
FBXO42,neuron
FBXO45,neuron
FBXO7,neuron
FBXO9,neuron
FBXW7,neuron
FBXW9,neuron
FCHO1,neuron
FEM1B,neuron
FEM1C,neuron
FGD1,neuron
FGD3,neuron
FGD4,neuron
FGD5,neuron
FGF12,neuron
FGF13,neuron
FGF14,neuron
FGF9,neuron
FHL1,neuron
FHOD3,neuron
FIBCD1,neuron
FIGF,neuron
FILIP1,neuron
FKBP1B,neuron
FLNB,neuron
FLOT2,neuron
FLRT2,neuron
FLRT3,neuron
FN1,neuron
FNBP1L,neuron
FNBP4,neuron
FNDC3B,neuron
FOSB,neuron
FOSL2,neuron
FOXJ2,neuron
FOXJ3,neuron
FOXK1,neuron
FOXK2,neuron
FOXP1,neuron
FOXP2,neuron
FOXRED2,neuron
FRAS1,neuron
FRAT2,neuron
FREM2,neuron
FREQ,neuron
FRMD3,neuron
FRMD5,neuron
FRY,neuron
FSD1,neuron
FST,neuron
FSTL5,neuron
FUBP1,neuron
FUT11,neuron
FXYD5,neuron
FXYD7,neuron
FYTTD1,neuron
G3BP2,neuron
GAB2,neuron
GABARAPL2,neuron
GABPB1,neuron
GABPB2,neuron
GABRA1,neuron
GABRA3,neuron
GABRA5,neuron
GABRB3,neuron
GABRD,neuron
GABRG2,neuron
GAD1,neuron
GAD2,neuron
GALNT13,neuron
GALNT2,neuron
GALNT9,neuron
GAP43,neuron
GAPVD1,neuron
GARNL3,neuron
GARNL4,neuron
GARS,neuron
GAS5,neuron
GATS,neuron
GBA2,neuron
GBF1,neuron
GCC2,neuron
GCNT2,neuron
GDA,neuron
GDAP1,neuron
GDAP1L1,neuron
GDF10,neuron
GDI1,neuron
GDPD1,neuron
GEMIN6,neuron
GFOD1,neuron
GFOD2,neuron
GFRA2,neuron
GGA2,neuron
GJA5,neuron
GJA9,neuron
GLCCI1,neuron
GLCE,neuron
GLRA2,neuron
GLS,neuron
GLT25D1,neuron
GMCL1,neuron
GMEB1,neuron
GMFB,neuron
GMIP,neuron
GMPS,neuron
GNA12,neuron
GNAI1,neuron
GNAI3,neuron
GNAL,neuron
GNAQ,neuron
GNAZ,neuron
GNB1,neuron
GNB4,neuron
GNB5,neuron
GNE,neuron
GNG2,neuron
GNG3,neuron
GNG4,neuron
GNL2,neuron
GNL3L,neuron
GOLT1B,neuron
GOPC,neuron
GOT1,neuron
GPATCH8,neuron
GPBP1,neuron
GPC1,neuron
GPC2,neuron
GPM6B,neuron
GPR12,neuron
GPR135,neuron
GPR161,neuron
GPR22,neuron
GPR26,neuron
GPR39,neuron
GPR6,neuron
GPR61,neuron
GPR64,neuron
GPR83,neuron
GPR85,neuron
GPR88,neuron
GPR98,neuron
GPRASP1,neuron
GPRIN1,neuron
GPRIN2,neuron
GPRIN3,neuron
GPSM1,neuron
GRAMD1B,neuron
GRASP,neuron
GREM2,neuron
GRIA1,neuron
GRIA2,neuron
GRIA3,neuron
GRIA4,neuron
GRIK1,neuron
GRIK2,neuron
GRIN1,neuron
GRIN3A,neuron
GRIP1,neuron
GRM2,neuron
GRM4,neuron
GRM5,neuron
GRM7,neuron
GRM8,neuron
GRP,neuron
GRPEL2,neuron
GRRP1,neuron
GRSF1,neuron
GRWD1,neuron
GSK3B,neuron
GSPT1,neuron
GSPT2,neuron
GTDC1,neuron
GTF2H5,neuron
GTF3C4,neuron
GTPBP4,neuron
GUCY1A3,neuron
GUCY1B3,neuron
H2AFJ,neuron
H2AFY2,neuron
H3F3B,neuron
HAP1,neuron
HARS,neuron
HARS2,neuron
HAS3,neuron
HCFC1,neuron
HCFC2,neuron
HCK,neuron
HCN1,neuron
HCN2,neuron
HCRTR1,neuron
HEATR1,neuron
HECA,neuron
HECTD2,neuron
HECW1,neuron
HELZ,neuron
HERC1,neuron
HERC3,neuron
HEXDC,neuron
HIF1A,neuron
HIPK3,neuron
HIST1H3I,neuron
HIST3H2A,neuron
HIVEP2,neuron
HIVEP3,neuron
HK1,neuron
HMG20A,neuron
HMGB1,neuron
HMGB3,neuron
HMGB4,neuron
HMGCLL1,neuron
HMGCR,neuron
HMGCS1,neuron
HN1,neuron
HN1L,neuron
HNRPDL,neuron
HNRPLL,neuron
HOMER1,neuron
HOMER2,neuron
HOOK1,neuron
HOOK2,neuron
HPCA,neuron
HPCAL1,neuron
HPCAL4,neuron
HPGD,neuron
HPRT1,neuron
HPS3,neuron
HRK,neuron
HS3ST2,neuron
HS3ST5,neuron
HS6ST1,neuron
HS6ST2,neuron
HSBP1,neuron
HSDL1,neuron
HSF2,neuron
HSPA12A,neuron
HSPA4,neuron
HSPA8,neuron
HSPB3,neuron
HTR1B,neuron
HTR2C,neuron
HTR3A,neuron
HTR5A,neuron
HTR7,neuron
HTRA2,neuron
HUWE1,neuron
ICA1L,neuron
ICAM5,neuron
ICK,neuron
IDH3A,neuron
IDS,neuron
IFNGR2,neuron
IFRD1,neuron
IFT81,neuron
IFT88,neuron
IGF1,neuron
IGF1R,neuron
IGF2BP3,neuron
IGF2R,neuron
IGFBPL1,neuron
IGSF3,neuron
IGSF8,neuron
IKBKAP,neuron
IKZF4,neuron
IL1RAP,neuron
ILF3,neuron
ILK,neuron
IMPDH1,neuron
INA,neuron
ING1,neuron
INHA,neuron
INPP1,neuron
INPP4A,neuron
INPP4B,neuron
INPP5F,neuron
INSIG2,neuron
INSM1,neuron
INTS6,neuron
INTS7,neuron
IPO11,neuron
IPO4,neuron
IPO9,neuron
IPW,neuron
IQSEC3,neuron
IQWD1,neuron
IRAK1BP1,neuron
IREB2,neuron
IRF2BP2,neuron
IRS4,neuron
ISL1,neuron
ISLR2,neuron
ISOC1,neuron
ISY1,neuron
ISYNA1,neuron
ITFG1,neuron
ITGA3,neuron
ITGB3,neuron
ITPK1,neuron
ITPKA,neuron
ITPR1,neuron
ITSN1,neuron
IVNS1ABP,neuron
IWS1,neuron
JAG2,neuron
JAK1,neuron
JAKMIP1,neuron
JAKMIP2,neuron
JAZF1,neuron
JMY,neuron
JPH1,neuron
JPH4,neuron
KALRN,neuron
KBTBD2,neuron
KBTBD7,neuron
KBTBD8,neuron
KCNA4,neuron
KCNA5,neuron
KCNAB1,neuron
KCNAB2,neuron
KCNB1,neuron
KCNC1,neuron
KCNC2,neuron
KCND1,neuron
KCND2,neuron
KCNF1,neuron
KCNH1,neuron
KCNH2,neuron
KCNIP2,neuron
KCNIP4,neuron
KCNJ3,neuron
KCNJ9,neuron
KCNK12,neuron
KCNMA1,neuron
KCNMB2,neuron
KCNN1,neuron
KCNN2,neuron
KCNQ2,neuron
KCNQ3,neuron
KCNQ5,neuron
KCNS2,neuron
KCNT1,neuron
KCNT2,neuron
KCNV1,neuron
KCTD13,neuron
KCTD3,neuron
KCTD4,neuron
KCTD8,neuron
KHDRBS1,neuron
KHDRBS2,neuron
KHDRBS3,neuron
KHSRP,neuron
KIF1A,neuron
KIF1B,neuron
KIF21A,neuron
KIF21B,neuron
KIF26B,neuron
KIF2A,neuron
KIF3A,neuron
KIF3B,neuron
KIF3C,neuron
KIF5C,neuron
KIFAP3,neuron
KIFC2,neuron
KIRREL3,neuron
KIT,neuron
KLF11,neuron
KLF12,neuron
KLF16,neuron
KLF5,neuron
KLF6,neuron
KLF7,neuron
KLHDC1,neuron
KLHDC2,neuron
KLHDC8A,neuron
KLHL1,neuron
KLHL12,neuron
KLHL13,neuron
KLHL18,neuron
KLHL2,neuron
KLHL23,neuron
KLHL28,neuron
KLHL29,neuron
KLHL4,neuron
KLHL8,neuron
KPNA3,neuron
KRAS,neuron
KRR1,neuron
KRT222,neuron
KRT73,neuron
L1CAM,neuron
L3MBTL3,neuron
LANCL1,neuron
LANCL2,neuron
LARP1,neuron
LARP6,neuron
LASP1,neuron
LASS4,neuron
LASS5,neuron
LASS6,neuron
LBA1,neuron
LBH,neuron
LCK,neuron
LCMT1,neuron
LCOR,neuron
LDB2,neuron
LEFTY2,neuron
LGI1,neuron
LGI2,neuron
LHFPL4,neuron
LHX9,neuron
LIMK2,neuron
LIN7A,neuron
LIN7B,neuron
LIN7C,neuron
LINGO1,neuron
LINGO2,neuron
LMBR1,neuron
LMNB2,neuron
LMO1,neuron
LMO3,neuron
LMO4,neuron
LMO7,neuron
LMTK2,neuron
LONRF1,neuron
LONRF2,neuron
LOR,neuron
LPGAT1,neuron
LPHN1,neuron
LPHN2,neuron
LPL,neuron
LRCH1,neuron
LRFN1,neuron
LRFN2,neuron
LRFN3,neuron
LRFN4,neuron
LRFN5,neuron
LRIG2,neuron
LRP11,neuron
LRPPRC,neuron
LRRC24,neuron
LRRC3,neuron
LRRC3B,neuron
LRRC40,neuron
LRRC47,neuron
LRRC49,neuron
LRRC4C,neuron
LRRC59,neuron
LRRC8D,neuron
LRRTM1,neuron
LRRTM3,neuron
LRRTM4,neuron
LSM11,neuron
LSM14B,neuron
LST1,neuron
LUC7L2,neuron
LUM,neuron
LY6E,neuron
LY6H,neuron
LYPD1,neuron
LYPD6,neuron
LYSMD4,neuron
LYST,neuron
LZTFL1,neuron
MADD,neuron
MAF,neuron
MAGEE1,neuron
MAGI1,neuron
MAGI2,neuron
MAK10,neuron
MAL2,neuron
MALAT1,neuron
MAN1A2,neuron
MAOA,neuron
MAP1LC3A,neuron
MAP2K4,neuron
MAP3K12,neuron
MAP3K5,neuron
MAP3K7,neuron
MAP3K7IP3,neuron
MAP3K9,neuron
MAP4K4,neuron
MAP4K5,neuron
MAPK1,neuron
MAPK10,neuron
MAPK11,neuron
MAPK6,neuron
MAPK8,neuron
MAPK8IP2,neuron
MAPKBP1,neuron
MAPRE1,neuron
MAPRE2,neuron
MAPT,neuron
MARCH1,neuron
MARCH4,neuron
MARCH7,neuron
MARCKS,neuron
MARK1,neuron
MARK4,neuron
MARVELD1,neuron
MARVELD2,neuron
MASP1,neuron
MAST1,neuron
MAST3,neuron
MAST4,neuron
MAT2A,neuron
MATK,neuron
MAX,neuron
MBD5,neuron
MBP,neuron
MBTPS2,neuron
MCART1,neuron
MCF2L,neuron
MCTP1,neuron
MCTS1,neuron
ME2,neuron
MECP2,neuron
MED4,neuron
MEF2A,neuron
MEF2C,neuron
MEF2D,neuron
MEGF8,neuron
MEMO1,neuron
METAP1,neuron
MFHAS1,neuron
MFSD4,neuron
MGAT4B,neuron
MGAT5B,neuron
MGEA5,neuron
MGST3,neuron
MIA3,neuron
MIB1,neuron
MIER2,neuron
MIER3,neuron
MINPP1,neuron
MKNK2,neuron
MKRN1,neuron
MKRN2,neuron
MKRN3,neuron
MKX,neuron
MLLT11,neuron
MLLT3,neuron
MLLT4,neuron
MMD,neuron
MMP16,neuron
MMP17,neuron
MMP24,neuron
MN1,neuron
MNT,neuron
MOAP1,neuron
MOCS3,neuron
MORC3,neuron
MORF4L1,neuron
MPP3,neuron
MPPE1,neuron
MPPED1,neuron
MPPED2,neuron
MPV17L,neuron
MREG,neuron
MRM1,neuron
MRPL19,neuron
MRPL50,neuron
MRPS23,neuron
MSC,neuron
MSH2,neuron
MSRA,neuron
MTF2,neuron
MTHFD2,neuron
MTMR4,neuron
MTMR7,neuron
MTMR9,neuron
MTPN,neuron
MTSS1,neuron
MTX3,neuron
MUM1,neuron
MYADM,neuron
MYCL1,neuron
MYCN,neuron
MYEF2,neuron
MYH10,neuron
MYH3,neuron
MYH7,neuron
MYLIP,neuron
MYNN,neuron
MYO1B,neuron
MYO1C,neuron
MYO5A,neuron
MYO5B,neuron
MYO9A,neuron
MYT1,neuron
MYT1L,neuron
NANOS1,neuron
NANS,neuron
NAP1L2,neuron
NAP1L3,neuron
NAPB,neuron
NAPG,neuron
NARG1,neuron
NARS,neuron
NAT11,neuron
NAV1,neuron
NAV3,neuron
NBEA,neuron
NCALD,neuron
NCAM1,neuron
NCDN,neuron
NCK2,neuron
NCL,neuron
NCOA5,neuron
NCOA7,neuron
NCOR1,neuron
NDEL1,neuron
NDFIP1,neuron
NDN,neuron
NDNL2,neuron
NDRG1,neuron
NDRG3,neuron
NDRG4,neuron
NDUFA10,neuron
NEDD4,neuron
NEDD4L,neuron
NEFH,neuron
NEFL,neuron
NEFM,neuron
NEGR1,neuron
NELL1,neuron
NELL2,neuron
NEO1,neuron
NETO1,neuron
NETO2,neuron
NEURL,neuron
NEUROD1,neuron
NEUROD6,neuron
NEXN,neuron
NFE2L3,neuron
NFIA,neuron
NFIB,neuron
NFIL3,neuron
NFKBIL2,neuron
NFX1,neuron
NFYA,neuron
NFYB,neuron
NHLH2,neuron
NHP2L1,neuron
NICN1,neuron
NIF3L1,neuron
NIN,neuron
NIP7,neuron
NIPA1,neuron
NIPSNAP1,neuron
NIPSNAP3A,neuron
NKRF,neuron
NKTR,neuron
NLGN2,neuron
NLGN3,neuron
NLK,neuron
NLN,neuron
NMD3,neuron
NMT2,neuron
NNAT,neuron
NNMT,neuron
NOC2L,neuron
NOC4L,neuron
NOL10,neuron
NOL3,neuron
NOL4,neuron
NOLC1,neuron
NONO,neuron
NOS1,neuron
NOS1AP,neuron
NOV,neuron
NOVA2,neuron
NPAS2,neuron
NPAS4,neuron
NPNT,neuron
NPR3,neuron
NPTN,neuron
NPTX1,neuron
NPTXR,neuron
NPY,neuron
NPY1R,neuron
NPY2R,neuron
NPY5R,neuron
NR2C2,neuron
NR4A2,neuron
NR4A3,neuron
NRBP2,neuron
NRG3,neuron
NRGN,neuron
NRIP1,neuron
NRIP3,neuron
NRN1,neuron
NRP2,neuron
NRSN1,neuron
NRSN2,neuron
NRXN3,neuron
NSF,neuron
NSUN6,neuron
NT5C2,neuron
NT5C3,neuron
NTF3,neuron
NTNG1,neuron
NTRK2,neuron
NTRK3,neuron
NTS,neuron
NTSR1,neuron
NUB1,neuron
NUBP1,neuron
NUCB2,neuron
NUCKS1,neuron
NUDCD1,neuron
NUDCD3,neuron
NUDT11,neuron
NUFIP2,neuron
NUP153,neuron
NUP155,neuron
NUP210,neuron
NUP54,neuron
NUP62,neuron
NUPL1,neuron
NUTF2,neuron
NVL,neuron
NXPH2,neuron
NXPH3,neuron
OBFC2A,neuron
OCIAD2,neuron
ODF2,neuron
ODZ1,neuron
ODZ2,neuron
ODZ3,neuron
ODZ4,neuron
OGFRL1,neuron
OGN,neuron
OGT,neuron
OLFM1,neuron
OLFM2,neuron
OLFM3,neuron
OPCML,neuron
OPN3,neuron
OPRL1,neuron
OSBPL11,neuron
OSBPL3,neuron
OSBPL5,neuron
OSBPL6,neuron
OSBPL8,neuron
OTUB1,neuron
OTUD4,neuron
OTUD7A,neuron
OVGP1,neuron
OXTR,neuron
PA2G4,neuron
PABPC4,neuron
PABPN1,neuron
PACS1,neuron
PACS2,neuron
PACSIN1,neuron
PAFAH1B1,neuron
PAFAH1B2,neuron
PAFAH1B3,neuron
PAIP1,neuron
PAK1,neuron
PAK6,neuron
PAK7,neuron
PALM,neuron
PAN3,neuron
PANX1,neuron
PANX2,neuron
PAPD5,neuron
PAPOLA,neuron
PAPPA2,neuron
PAQR3,neuron
PAQR7,neuron
PAQR9,neuron
PARG,neuron
PARN,neuron
PARP11,neuron
PBEF1,neuron
PBX1,neuron
PBX2,neuron
PBX3,neuron
PCBP2,neuron
PCDH15,neuron
PCDH18,neuron
PCDH19,neuron
PCDH21,neuron
PCDH7,neuron
PCDH8,neuron
PCDHA1,neuron
PCDHA11,neuron
PCDHB12,neuron
PCDHB16,neuron
PCDHB17,neuron
PCDHB3,neuron
PCDHB7,neuron
PCDHB9,neuron
PCGF3,neuron
PCGF6,neuron
PCLO,neuron
PCM1,neuron
PCMT1,neuron
PCMTD1,neuron
PCNX,neuron
PCP4,neuron
PCSK2,neuron
PCSK5,neuron
PCTK2,neuron
PDAP1,neuron
PDCL,neuron
PDE10A,neuron
PDE1A,neuron
PDE2A,neuron
PDE4D,neuron
PDE4DIP,neuron
PDE7A,neuron
PDGFA,neuron
PDGFB,neuron
PDIA3,neuron
PDIK1L,neuron
PDK1,neuron
PDPK1,neuron
PDSS2,neuron
PDXK,neuron
PDXP,neuron
PDZD2,neuron
PDZD4,neuron
PDZRN3,neuron
PEX26,neuron
PEX5,neuron
PFKFB2,neuron
PFKP,neuron
PFTK1,neuron
PGAM5,neuron
PGBD5,neuron
PGM2L1,neuron
PGR,neuron
PGRMC1,neuron
PGRMC2,neuron
PHACTR1,neuron
PHF1,neuron
PHF13,neuron
PHF14,neuron
PHF16,neuron
PHF17,neuron
PHF20,neuron
PHF6,neuron
PHOSPHO2,neuron
PHTF2,neuron
PIGA,neuron
PIH1D1,neuron
PIK3R1,neuron
PIM1,neuron
PIP5K1C,neuron
PIP5K2A,neuron
PIP5K2B,neuron
PIP5KL1,neuron
PISD,neuron
PITPNA,neuron
PITPNB,neuron
PITPNM1,neuron
PITPNM3,neuron
PJA1,neuron
PJA2,neuron
PKIA,neuron
PKIB,neuron
PKNOX2,neuron
PLA2G3,neuron
PLA2G4E,neuron
PLAA,neuron
PLCB1,neuron
PLCL2,neuron
PLCXD1,neuron
PLCXD2,neuron
PLCXD3,neuron
PLDN,neuron
PLEKHA1,neuron
PLEKHG4,neuron
PLK2,neuron
PLK3,neuron
PLP2,neuron
PLS3,neuron
PLXNA1,neuron
PLXNA2,neuron
PLXNA3,neuron
PLXNA4,neuron
PLXNC1,neuron
PLXND1,neuron
PMAIP1,neuron
PNCK,neuron
PNMA1,neuron
PNMA2,neuron
PNMA3,neuron
PNOC,neuron
PNPLA8,neuron
PNPO,neuron
PODXL2,neuron
POGK,neuron
POGZ,neuron
POLB,neuron
POLD3,neuron
POLE4,neuron
POLR2A,neuron
POLR3K,neuron
POU3F1,neuron
POU3F3,neuron
PPA1,neuron
PPARGC1A,neuron
PPARGC1B,neuron
PPAT,neuron
PPFIA2,neuron
PPFIA4,neuron
PPFIBP1,neuron
PPIF,neuron
PPIL4,neuron
PPM1E,neuron
PPM1G,neuron
PPM1H,neuron
PPM1L,neuron
PPP1R11,neuron
PPP1R12B,neuron
PPP1R13B,neuron
PPP1R14C,neuron
PPP1R1B,neuron
PPP1R2,neuron
PPP1R3E,neuron
PPP2CA,neuron
PPP2R2A,neuron
PPP2R2C,neuron
PPP2R2D,neuron
PPP2R5C,neuron
PPP2R5E,neuron
PPP3CA,neuron
PPP3CB,neuron
PPP3R1,neuron
PPP4R1,neuron
PQLC1,neuron
PRDM15,neuron
PRDM2,neuron
PRDM8,neuron
PRDX2,neuron
PREP,neuron
PREPL,neuron
PRICKLE2,neuron
PRKAA2,neuron
PRKAB2,neuron
PRKACB,neuron
PRKAG2,neuron
PRKAR1B,neuron
PRKAR2B,neuron
PRKCE,neuron
PRKCH,neuron
PRMT1,neuron
PRMT2,neuron
PRMT5,neuron
PRMT6,neuron
PRMT8,neuron
PROKR2,neuron
PROX1,neuron
PRPF39,neuron
PRPF4B,neuron
PRPS1,neuron
PRPS2,neuron
PRR3,neuron
PRRG3,neuron
PRRT1,neuron
PRRT3,neuron
PRSS12,neuron
PRUNE,neuron
PSD,neuron
PSD2,neuron
PSMC6,neuron
PSME3,neuron
PSPC1,neuron
PTBP1,neuron
PTBP2,neuron
PTEN,neuron
PTGER3,neuron
PTGER4,neuron
PTGS1,neuron
PTHLH,neuron
PTK2,neuron
PTK2B,neuron
PTP4A1,neuron
PTPN2,neuron
PTPN3,neuron
PTPRD,neuron
PTPRK,neuron
PTPRN,neuron
PTPRN2,neuron
PTPRO,neuron
PTPRR,neuron
PTPRS,neuron
PTX3,neuron
PUM1,neuron
PURG,neuron
PVRL2,neuron
PVRL3,neuron
PVT1,neuron
QRICH1,neuron
QRSL1,neuron
QTRTD1,neuron
R3HDM1,neuron
R3HDM2,neuron
RAB10,neuron
RAB11A,neuron
RAB11FIP2,neuron
RAB11FIP5,neuron
RAB12,neuron
RAB14,neuron
RAB15,neuron
RAB22A,neuron
RAB39B,neuron
RAB3A,neuron
RAB3B,neuron
RAB3C,neuron
RAB3D,neuron
RAB3IP,neuron
RAB40B,neuron
RAB6B,neuron
RAB9B,neuron
RABEP1,neuron
RABGAP1L,neuron
RABIF,neuron
RAC3,neuron
RAD23B,neuron
RAD51,neuron
RALA,neuron
RALGPS1,neuron
RALGPS2,neuron
RAMP2,neuron
RAMP3,neuron
RANBP6,neuron
RANGAP1,neuron
RAP1A,neuron
RAP1B,neuron
RAP2B,neuron
RAPGEF2,neuron
RAPGEF4,neuron
RAPGEF5,neuron
RAPGEF6,neuron
RAPGEFL1,neuron
RAPH1,neuron
RARB,neuron
RASAL1,neuron
RASD2,neuron
RASGEF1A,neuron
RASGEF1C,neuron
RASGRF1,neuron
RASGRP1,neuron
RASGRP2,neuron
RASIP1,neuron
RASL10A,neuron
RASL11B,neuron
RASSF3,neuron
RASSF5,neuron
RBAK,neuron
RBBP6,neuron
RBBP7,neuron
RBM14,neuron
RBM24,neuron
RBM26,neuron
RBM34,neuron
RBM39,neuron
RBM4,neuron
RBM43,neuron
RBM5,neuron
RBM6,neuron
RBM8A,neuron
RBM9,neuron
RBMS1,neuron
RBMS2,neuron
RBMS3,neuron
RBP4,neuron
RBX1,neuron
RC3H1,neuron
RC3H2,neuron
RCBTB2,neuron
RCOR1,neuron
RCOR3,neuron
RDH13,neuron
REEP1,neuron
RELN,neuron
REM2,neuron
REPS2,neuron
RERG,neuron
RESP18,neuron
REV3L,neuron
REXO1,neuron
RFTN1,neuron
RFX1,neuron
RFX3,neuron
RFXAP,neuron
RGL1,neuron
RGMA,neuron
RGMB,neuron
RGS10,neuron
RGS11,neuron
RGS19,neuron
RGS2,neuron
RGS4,neuron
RGS6,neuron
RGS7BP,neuron
RGS8,neuron
RGS9,neuron
RHBDL1,neuron
RHEBL1,neuron
RHOBTB1,neuron
RHOF,neuron
RHOT1,neuron
RHOU,neuron
RHOV,neuron
RIC8B,neuron
RIMBP2,neuron
RIMS1,neuron
RIMS3,neuron
RIMS4,neuron
RIOK3,neuron
RIT2,neuron
RLF,neuron
RND3,neuron
RNF11,neuron
RNF128,neuron
RNF130,neuron
RNF14,neuron
RNF157,neuron
RNF165,neuron
RNF170,neuron
RNF182,neuron
RNF187,neuron
RNF2,neuron
RNGTT,neuron
RNMT,neuron
RNPC3,neuron
RNPS1,neuron
ROBO1,neuron
RORA,neuron
RORB,neuron
RPE,neuron
RPGR,neuron
RPH3A,neuron
RPL15,neuron
RPL22,neuron
RPL23A,neuron
RPL3,neuron
RPL30,neuron
RPL5,neuron
RPRM,neuron
RPRML,neuron
RPS15A,neuron
RPS17,neuron
RPS20,neuron
RPS25,neuron
RPS6KA2,neuron
RPS6KA5,neuron
RPS6KA6,neuron
RPS6KL1,neuron
RRAGD,neuron
RRAS2,neuron
RRP12,neuron
RSAD1,neuron
RSBN1,neuron
RSPO2,neuron
RSPRY1,neuron
RTF1,neuron
RTN1,neuron
RTN2,neuron
RTN4,neuron
RTN4R,neuron
RTN4RL1,neuron
RTN4RL2,neuron
RUFY2,neuron
RUFY3,neuron
RUNX1T1,neuron
RUSC1,neuron
RUSC2,neuron
RXRG,neuron
RYBP,neuron
RYR1,neuron
RYR2,neuron
RYR3,neuron
S100A10,neuron
S100PBP,neuron
SAAL1,neuron
SACS,neuron
SAMD12,neuron
SAMHD1,neuron
SATB2,neuron
SBK1,neuron
SBNO1,neuron
SC4MOL,neuron
SCARB1,neuron
SCG2,neuron
SCMH1,neuron
SCN1A,neuron
SCN2B,neuron
SCN3A,neuron
SCN3B,neuron
SCN4B,neuron
SCN8A,neuron
SCOC,neuron
SCRN1,neuron
SCYL2,neuron
SDC1,neuron
SDC3,neuron
SDCCAG1,neuron
SDCCAG3,neuron
SEC23A,neuron
SEC61A1,neuron
SEC61A2,neuron
SEH1L,neuron
SEMA3A,neuron
SEMA3C,neuron
SEMA3E,neuron
SEMA4C,neuron
SEMA4F,neuron
SEMA4G,neuron
SEMA7A,neuron
SENP2,neuron
SENP6,neuron
SEPHS1,neuron
SEPT11,neuron
SEPT3,neuron
SEPT6,neuron
SERAC1,neuron
SERBP1,neuron
SERGEF,neuron
SERINC1,neuron
SERPINI1,neuron
SERTAD4,neuron
SESTD1,neuron
SET,neuron
SETD4,neuron
SETD5,neuron
SETD6,neuron
SEZ6,neuron
SEZ6L2,neuron
SF3A1,neuron
SF3B1,neuron
SFMBT2,neuron
SFPQ,neuron
SFRP2,neuron
SFRP4,neuron
SFRS11,neuron
SFRS12,neuron
SFRS14,neuron
SFRS7,neuron
SFRS8,neuron
SFT2D1,neuron
SFXN1,neuron
SFXN3,neuron
SGIP1,neuron
SGPP2,neuron
SGTB,neuron
SH2D5,neuron
SH3BP2,neuron
SH3BP5,neuron
SH3BP5L,neuron
SH3D19,neuron
SH3GL2,neuron
SH3KBP1,neuron
SH3RF1,neuron
SH3YL1,neuron
SHANK3,neuron
SHB,neuron
SHOC2,neuron
SIAH2,neuron
SIDT1,neuron
SIGIRR,neuron
SIPA1L1,neuron
SIPA1L3,neuron
SKIV2L2,neuron
SKP2,neuron
SLA,neuron
SLAIN1,neuron
SLAIN2,neuron
SLC10A4,neuron
SLC12A5,neuron
SLC12A6,neuron
SLC16A14,neuron
SLC16A7,neuron
SLC17A6,neuron
SLC17A7,neuron
SLC1A6,neuron
SLC22A15,neuron
SLC22A3,neuron
SLC24A2,neuron
SLC25A12,neuron
SLC25A14,neuron
SLC25A22,neuron
SLC25A30,neuron
SLC25A36,neuron
SLC25A44,neuron
SLC25A46,neuron
SLC26A4,neuron
SLC27A3,neuron
SLC29A4,neuron
SLC2A13,neuron
SLC2A3,neuron
SLC2A6,neuron
SLC30A3,neuron
SLC32A1,neuron
SLC35A1,neuron
SLC35A2,neuron
SLC35F2,neuron
SLC35F3,neuron
SLC35F4,neuron
SLC37A3,neuron
SLC38A2,neuron
SLC39A6,neuron
SLC45A4,neuron
SLC4A10,neuron
SLC4A3,neuron
SLC4A7,neuron
SLC6A11,neuron
SLC6A15,neuron
SLC6A17,neuron
SLC6A6,neuron
