acronym,group
EXTL1,brain
EYA1,brain
FA2H,brain
FABP1,brain
FABP3,brain
FABP6,brain
FABP7,brain
FABP9,brain
FADS1,brain
FADS2,brain
FADS6,brain
FAIM2,brain
FAM107A,brain
FAM124A,brain
FAM131A,brain
FAM131B,brain
FAM131C,brain
FAM133A,brain
FAM135B,brain
FAM153B,brain
FAM155A,brain
FAM155B,brain
FAM167A,brain
FAM168A,brain
FAM169A,brain
FAM170A,brain
FAM171A2,brain
FAM171B,brain
FAM178B,brain
FAM181A,brain
FAM181B,brain
FAM182B,brain
FAM184A,brain
FAM187B,brain
FAM189A1,brain
FAM196A,brain
FAM19A1,brain
FAM19A2,brain
FAM19A4,brain
FAM19A5,brain
FAM43B,brain
FAM47A,brain
FAM47C,brain
FAM49A,brain
FAM57B,brain
FAM71C,brain
FAM71E2,brain
FAM71F1,brain
FAM78B,brain
FAM81A,brain
FAM9C,brain
FAT3,brain
FATE1,brain
FAXC,brain
FBN3,brain
FBXL16,brain
FBXL2,brain
FBXO2,brain
FBXO40,brain
FBXO41,brain
FBXO47,brain
FBXW12,brain
FBXW7,brain
FCGR1A,brain
FCHO1,brain
FERD3L,brain
FETUB,brain
FEZ1,brain
FEZF1,brain
FEZF2,brain
FFAR1,brain
FGF1,brain
FGF11,brain
FGF12,brain
FGF13,brain
FGF14,brain
FGF22,brain
FGF5,brain
FGF8,brain
FGF9,brain
FGFBP3,brain
FIBCD1,brain
FJX1,brain
FLRT1,brain
FMN2,brain
FMNL2,brain
FNDC4,brain
FNDC5,brain
FNDC7,brain
FNDC8,brain
FOLH1,brain
FOXB2,brain
FOXD4L3,brain
FOXE1,brain
FOXL2,brain
FREM3,brain
FRMD5,brain
FRMPD1,brain
FRMPD2,brain
FRMPD3,brain
FRMPD4,brain
FSD1,brain
FSD1L,brain
FSHB,brain
FSTL4,brain
FSTL5,brain
FUT9,brain
FXYD6,brain
FXYD7,brain
FZD3,brain
G6PC,brain
GABBR1,brain
GABBR2,brain
GABRA1,brain
GABRA2,brain
GABRA3,brain
GABRA4,brain
GABRA5,brain
GABRA6,brain
GABRB1,brain
GABRB2,brain
GABRB3,brain
GABRD,brain
GABRG1,brain
GABRG2,brain
GABRG3,brain
GAD1,brain
GAD2,brain
GAGE10,brain
GAGE12G,brain
GAL,brain
